<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,D,20220109,000000,1.1345800,1.1360300,1.1345700,1.1353600,50898
EURUSD,D,20220110,000000,1.1353600,1.1358100,1.1283000,1.1330100,1205169
EURUSD,D,20220111,000000,1.1329800,1.1375400,1.1311000,1.1365800,1194831
EURUSD,D,20220112,000000,1.1366000,1.1452800,1.1353000,1.1439300,1233968
EURUSD,D,20220113,000000,1.1439500,1.1481800,1.1433000,1.1455000,1241402
EURUSD,D,20220114,000000,1.1456600,1.1483000,1.1397000,1.1414000,1337614
EURUSD,D,20220116,000000,1.1412800,1.1416900,1.1404000,1.1411000,36574
EURUSD,D,20220117,000000,1.1410500,1.1434500,1.1390000,1.1410100,835175
EURUSD,D,20220118,000000,1.1410000,1.1421500,1.1313000,1.1328700,1516174
EURUSD,D,20220119,000000,1.1328700,1.1357200,1.1317000,1.1342600,1237004
EURUSD,D,20220120,000000,1.1342200,1.1369100,1.1300000,1.1312500,1272913
EURUSD,D,20220121,000000,1.1312500,1.1359900,1.1298000,1.1340000,1221294
EURUSD,D,20220123,000000,1.1340900,1.1345000,1.1335000,1.1340900,29373
EURUSD,D,20220124,000000,1.1340400,1.1341100,1.1289000,1.1322900,1485305
EURUSD,D,20220125,000000,1.1323600,1.1324100,1.1261000,1.1302800,1376156
EURUSD,D,20220126,000000,1.1302200,1.1310800,1.1234000,1.1240400,1572606
EURUSD,D,20220127,000000,1.1240800,1.1243400,1.1130000,1.1144200,1611225
EURUSD,D,20220128,000000,1.1143800,1.1173700,1.1120000,1.1147000,1479559
EURUSD,D,20220130,000000,1.1141500,1.1152500,1.1137000,1.1151100,36606
EURUSD,D,20220131,000000,1.1151900,1.1247900,1.1142000,1.1229100,1459110
EURUSD,D,20220201,000000,1.1229200,1.1278800,1.1219000,1.1272800,1420852
EURUSD,D,20220202,000000,1.1272900,1.1330200,1.1264000,1.1299400,1199508
